Week,Affiliate,SOLD USD,NET SC,Bonuses,COMMISSION RATE,REFERRED PLAYERS,OWED FROM PREV WK ,PROCESSING FEES ,TOTAL FEES ,NET ,NET COMMISSION ,NEW OWED BALANCE
March 16- 22 Week 3,PUPS77 (GILBERTO),"$12,900.00","$5,294.55",$20.01,40.00%,1,$0.00,$806.25,$826.26,"$4,468.29","$1,787.32",$0.00
March 16- 22 Week 3,GLOBELINA ,"$9,850.00","$6,526.92",$20.00,40.00%,3,$0.00,$615.63,$635.63,"$5,891.29","$2,356.52",$0.00
March 16- 22 Week 3,PAU626,"$3,795.00","$2,176.09",$40.10,40.00%,1,$0.00,$237.19,$277.29,"$1,898.80",$759.52,$0.00
March 16- 22 Week 3,OPERATIONS888,"$5,895.00",-$158.76,$35.00,40.00%,1,$0.00,$368.44,$403.44,-$562.20,$0.00,-$562.20
March 16- 22 Week 3,LOSHI,"$9,215.00","$6,798.81",$80.10,40.00%,4,$0.00,$575.94,$656.04,"$6,142.77","$2,457.11",$0.00
March 16- 22 Week 3,MAMIWANDA,"$1,720.00",$954.99,$0.00,40.00%,0,$0.00,$107.50,$107.50,$847.49,$339.00,$0.00
March 16- 22 Week 3,SHEBETS,"$3,705.00","$1,976.39",$0.00,40.00%,0,$0.00,$231.56,$231.56,"$1,744.83",$697.93,$0.00
March 16- 22 Week 3,DUCKERS86,"$1,705.00",$590.81,$0.00,40.00%,2,$0.00,$106.56,$106.56,$484.25,$193.70,$0.00
March 16- 22 Week 3,KRIV05,$320.00,$75.81,$0.00,40.00%,0,-$369.17,$20.00,$20.00,$55.81,$0.00,-$313.36
March 16- 22 Week 3,FREDDY,$0.00,$0.00,$0.00,40.00%,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
March 16- 22 Week 3,KARI,$0.00,$0.00,$0.00,40.00%,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
March 16- 22 Week 3,BOLA333,"$1,130.00",$691.54,$0.00,40.00%,1,"-$1,254.17",$70.63,$70.63,$620.91,$0.00,-$633.26
March 16- 22 Week 3,Israellozano,"$4,935.00","$2,089.17",$0.00,25.00%,2,$0.00,$308.44,$308.44,"$1,780.73",$445.18,$0.00
March 16- 22 Week 3,Yuli1234,"$23,240.00","$10,155.79",$140.30,40.00%,7,$0.00,"$1,452.50","$1,592.80","$8,562.99","$3,425.20",$0.00
March 16- 22 Week 3,Arturocastro,"$2,730.00","-$2,678.07",$40.10,40.00%,10,$0.00,$170.63,$210.73,"-$2,888.80",$0.00,"-$2,888.80"
March 16- 22 Week 3,Salyn,"$11,675.00","$7,043.65",$45.10,40.00%,10,$0.00,$729.69,$774.79,"$6,268.86","$2,507.54",$0.00
